year,rank,country,eci,numb
1993,1,Germany,2.44,999
1993,2,Japan,2.36,990
1993,3,Switzerland,2.36,888
1993,4,Sweden,2.23,880
1993,5,United Kingdom,2.09,777
1993,6,Austria,2.09,770
1993,7,Finland,2.09,666
1993,8,United States,1.96,660
1993,9,France,1.9,555
1993,10,Belgium,1.83,550
1993,11,Denmark,1.81,444
1993,12,Italy,1.74,440
1993,13,Ireland,1.59,333
1993,14,Netherlands,1.54,330
1993,15,Slovakia,1.34,222
1993,16,Israel,1.27,220
1993,17,Spain,1.26,111
1993,18,Canada,1.19,110
1993,19,Norway,1.1,99
1993,20,Singapore,1.01,90
